 (-0.00573215,0)   (-0.0838976,0)    (-0.161261,0)    (-0.237065,0)    (-0.310603,0)    (-0.381193,0)     (-0.44814,0)    (-0.510848,0)    (-0.568727,0)    (-0.621222,0)    (-0.667858,0)    (-0.708213,0)    (-0.741914,0)    (-0.768653,0)    (-0.788187,0)    (-0.800391,0)    (-0.805111,0)    (-0.802349,0)    (-0.792143,0)    (-0.774659,0)    (-0.750044,0)    (-0.718546,0)    (-0.680485,0)    (-0.636245,0)    (-0.586254,0)     (-0.53101,0)    (-0.471049,0)    (-0.406949,0)    (-0.339288,0)    (-0.268733,0)    (-0.195953,0)      (-0.1216,0)
  (-0.0463918,0)    (0.0289939,0)     (0.103884,0)     (0.177564,0)     (0.249408,0)     (0.318784,0)     (0.385059,0)      (0.44765,0)     (0.506048,0)     (0.559727,0)     (0.608262,0)     (0.651239,0)     (0.688346,0)     (0.719293,0)     (0.743844,0)     (0.761865,0)     (0.773239,0)     (0.777919,0)     (0.775908,0)     (0.767318,0)     (0.752262,0)     (0.730947,0)     (0.703574,0)     (0.670465,0)     (0.631951,0)     (0.588407,0)     (0.540251,0)     (0.487914,0)      (0.43186,0)     (0.372587,0)     (0.310604,0)     (0.246436,0)
     (0.18061,0)     (0.113639,0)    (0.0460316,0)   (-0.0216852,0)   (-0.0890396,0)    (-0.155531,0)    (-0.220695,0)     (-0.28412,0)    (-0.345387,0)    (-0.404146,0)    (-0.460055,0)    (-0.512834,0)    (-0.562201,0)    (-0.607959,0)     (-0.64992,0)    (-0.687966,0)     (-0.72197,0)    (-0.751899,0)    (-0.777741,0)    (-0.799541,0)    (-0.817338,0)    (-0.831219,0)    (-0.841326,0)    (-0.847806,0)    (-0.850845,0)    (-0.850632,0)    (-0.847432,0)    (-0.841474,0)     (-0.83299,0)    (-0.822311,0)    (-0.809674,0)    (-0.795355,0)
   (-0.779646,0)     (-0.76283,0)    (-0.745176,0)    (-0.726956,0)    (-0.708395,0)    (-0.689756,0)    (-0.671287,0)    (-0.653181,0)    (-0.635629,0)    (-0.618826,0)    (-0.602903,0)    (-0.588023,0)    (-0.574277,0)    (-0.561776,0)    (-0.550576,0)    (-0.540714,0)    (-0.532246,0)    (-0.525177,0)    (-0.519522,0)    (-0.515216,0)     (-0.51224,0)    (-0.510558,0)    (-0.510099,0)     (-0.51077,0)    (-0.512496,0)     (-0.51518,0)    (-0.518715,0)    (-0.522997,0)    (-0.527944,0)    (-0.533436,0)    (-0.539356,0)    (-0.545606,0)
   (-0.552083,0)    (-0.558673,0)    (-0.565312,0)    (-0.571902,0)    (-0.578361,0)     (-0.58463,0)    (-0.590614,0)    (-0.596277,0)    (-0.601567,0)    (-0.606432,0)    (-0.610859,0)    (-0.614815,0)    (-0.618293,0)    (-0.621283,0)    (-0.623767,0)    (-0.625772,0)    (-0.627279,0)    (-0.628335,0)    (-0.628942,0)    (-0.629155,0)    (-0.628973,0)    (-0.628425,0)    (-0.627564,0)      (-0.6264,0)    (-0.624988,0)    (-0.623351,0)    (-0.621519,0)    (-0.619552,0)    (-0.617456,0)    (-0.615281,0)     (-0.61305,0)     (-0.61077,0)
   (-0.608509,0)    (-0.606274,0)    (-0.604071,0)    (-0.601929,0)    (-0.599857,0)    (-0.597874,0)    (-0.596031,0)    (-0.594305,0)    (-0.592706,0)    (-0.591255,0)    (-0.589952,0)    (-0.588809,0)    (-0.587837,0)    (-0.587063,0)    (-0.586454,0)    (-0.586033,0)    (-0.585778,0)    (-0.585754,0)     (-0.58591,0)    (-0.586261,0)    (-0.586801,0)    (-0.587553,0)    (-0.588516,0)     (-0.58965,0)    (-0.590989,0)    (-0.592492,0)    (-0.594179,0)    (-0.596033,0)    (-0.598053,0)    (-0.600217,0)    (-0.602499,0)    (-0.604878,0)
   (-0.607328,0)    (-0.609834,0)    (-0.612359,0)     (-0.61488,0)    (-0.617361,0)    (-0.619782,0)    (-0.622083,0)    (-0.624236,0)    (-0.626186,0)    (-0.627895,0)    (-0.629349,0)    (-0.630473,0)    (-0.631241,0)    (-0.631619,0)    (-0.631568,0)    (-0.631062,0)    (-0.630048,0)    (-0.628554,0)    (-0.626523,0)    (-0.623957,0)    (-0.620826,0)    (-0.617161,0)    (-0.612988,0)    (-0.608293,0)    (-0.603122,0)    (-0.597491,0)    (-0.591463,0)    (-0.585097,0)    (-0.578454,0)    (-0.571607,0)    (-0.564633,0)    (-0.557612,0)
   (-0.550654,0)    (-0.543839,0)    (-0.537269,0)    (-0.531069,0)    (-0.525351,0)    (-0.520216,0)    (-0.515801,0)    (-0.512187,0)    (-0.509486,0)    (-0.507806,0)    (-0.507227,0)    (-0.507824,0)    (-0.509695,0)    (-0.512904,0)    (-0.517481,0)    (-0.523456,0)    (-0.530867,0)     (-0.53973,0)    (-0.549977,0)    (-0.561581,0)    (-0.574491,0)     (-0.58865,0)    (-0.603939,0)    (-0.620219,0)    (-0.637364,0)    (-0.655199,0)    (-0.673554,0)    (-0.692216,0)     (-0.71099,0)    (-0.729638,0)     (-0.74789,0)     (-0.76551,0)
   (-0.782232,0)    (-0.797761,0)    (-0.811851,0)    (-0.824204,0)    (-0.834535,0)    (-0.842616,0)    (-0.848142,0)    (-0.850886,0)    (-0.850597,0)    (-0.847055,0)     (-0.84006,0)    (-0.829444,0)    (-0.815071,0)    (-0.796838,0)    (-0.774616,0)    (-0.748378,0)    (-0.718112,0)    (-0.683858,0)    (-0.645639,0)    (-0.603571,0)    (-0.557789,0)    (-0.508484,0)    (-0.455858,0)    (-0.400166,0)    (-0.341732,0)    (-0.280877,0)    (-0.217946,0)    (-0.153351,0)   (-0.0874991,0)   (-0.0208567,0)    (0.0461354,0)      (0.11296,0)
    (0.179119,0)     (0.244152,0)     (0.307519,0)     (0.368708,0)     (0.427223,0)     (0.482568,0)     (0.534262,0)     (0.581849,0)     (0.624908,0)     (0.663039,0)     (0.695868,0)     (0.723079,0)     (0.744375,0)     (0.759522,0)      (0.76834,0)     (0.770713,0)     (0.766533,0)     (0.755769,0)     (0.738472,0)     (0.714736,0)      (0.68472,0)     (0.648602,0)     (0.606679,0)      (0.55925,0)      (0.50671,0)     (0.449464,0)     (0.388022,0)     (0.322854,0)     (0.254519,0)     (0.183634,0)     (0.110813,0)    (0.0366806,0)
